Region,Suburb,Postcode,State
Brisbane Northern Beaches,Bald Hills,4036,QLD
Brisbane Northern Beaches,Bracken Ridge,4017,QLD
Brisbane Northern Beaches,Brighton,4017,QLD
Brisbane Northern Beaches,Deagon,4017,QLD
Brisbane Northern Beaches,Sandgate,4017,QLD
Brisbane Northern Beaches,Shorncliffe,4017,QLD
Brisbane Inner North,Albion,4010,QLD
Brisbane Inner North,Ascot,4007,QLD
Brisbane Inner North,Ashgrove,4060,QLD
Brisbane Inner North,Auchenflower,4066,QLD
Brisbane Inner North,Bardon,4065,QLD
Brisbane Inner North,Bowen Hills,4006,QLD
Brisbane Inner North,Brisbane City,4000,QLD
Brisbane Inner North,Clayfield,4011,QLD
Brisbane Inner North,Fortitude Valley,4006,QLD
Brisbane Inner North,Hamilton,4007,QLD
Brisbane Inner North,Hendra,4011,QLD
Brisbane Inner North,Herston,4006,QLD
Brisbane Inner North,Kelvin Grove,4059,QLD
Brisbane Inner North,Milton,4064,QLD
Brisbane Inner North,New Farm,4005,QLD
Brisbane Inner North,Newmarket,4051,QLD
Brisbane Inner North,Newstead,4006,QLD
Brisbane Inner North,Paddington,4064,QLD
Brisbane Inner North,Petrie Terrace,4000,QLD
Brisbane Inner North,Red Hill,4059,QLD
Brisbane Inner North,Spring Hill,4000,QLD
Brisbane Inner North,Teneriffe,4005,QLD
Brisbane Inner North,Wilston,4051,QLD
Brisbane Inner North,Windsor,4030,QLD
Brisbane North,Alderley,4051,QLD
Brisbane North,Chermside,4032,QLD
Brisbane North,Chermside West,4032,QLD
Brisbane North,Enoggera,4051,QLD
Brisbane North,Everton Hills,4053,QLD
Brisbane North,Everton Park,4053,QLD
Brisbane North,Ferny Grove,4055,QLD
Brisbane North,Gaythorne,4051,QLD
Brisbane North,Gordon Park,4031,QLD
Brisbane North,Grange,4051,QLD
Brisbane North,Kalinga,4030,QLD
Brisbane North,Kedron,4031,QLD
Brisbane North,Keperra,4054,QLD
Brisbane North,Lutwyche,4030,QLD
Brisbane North,McDowall,4053,QLD
Brisbane North,Mitchelton,4053,QLD
Brisbane North,Nundah,4012,QLD
Brisbane North,Stafford,4053,QLD
Brisbane North,Stafford Heights,4053,QLD
Brisbane North,The Gap,4061,QLD
Brisbane North,Upper Kedron,4055,QLD
Brisbane North,Wavell Heights,4012,QLD
Brisbane North,Wooloowin,4030,QLD
Brisbane Outer North,Aspley,4034,QLD
Brisbane Outer North,Banyo,4014,QLD
Brisbane Outer North,Boondall,4034,QLD
Brisbane Outer North,Bridgeman Downs,4035,QLD
Brisbane Outer North,Carseldine,4034,QLD
Brisbane Outer North,Fitzgibbon,4018,QLD
Brisbane Outer North,Geebung,4034,QLD
Brisbane Outer North,Northgate,4013,QLD
Brisbane Outer North,Nudgee,4014,QLD
Brisbane Outer North,Taigum,4018,QLD
Brisbane Outer North,Virginia,4014,QLD
Brisbane Outer North,Zillmere,4034,QLD
Brisbane West,Indooroopilly,4068,QLD
Brisbane West,St Lucia,4067,QLD
Brisbane West,Taringa,4068,QLD
Brisbane West,Toowong,4066,QLD
Brisbane Outer West,Anstead,4070,QLD
Brisbane Outer West,Bellbowrie,4070,QLD
Brisbane Outer West,Brookfield,4069,QLD
Brisbane Outer West,Chapel Hill,4069,QLD
Brisbane Outer West,Chuwar,4306,QLD
Brisbane Outer West,Enoggera Reservoir,4520,QLD
Brisbane Outer West,Fig Tree Pocket,4069,QLD
Brisbane Outer West,Indooroopilly,4068,QLD
Brisbane Outer West,Karana Downs,4306,QLD
Brisbane Outer West,Kenmore,4069,QLD
Brisbane Outer West,Kenmore Hills,4069,QLD
Brisbane Outer West,Kholo,4306,QLD
Brisbane Outer West,Lake Manchester,4306,QLD
Brisbane Outer West,Moggill,4070,QLD
Brisbane Outer West,Mount Coot-tha,4066,QLD
Brisbane Outer West,Mount Crosby,4306,QLD
Brisbane Outer West,Pinjarra Hills,4069,QLD
Brisbane Outer West,Pullenvale,4069,QLD
Brisbane South West,Chelmer,4068,QLD
Brisbane South West,Graceville,4075,QLD
Brisbane South West,Sherwood,4075,QLD
Brisbane South West,Corinda,4075,QLD
Brisbane South West,Oxley,4075,QLD
Brisbane South West,Seventeen Mile Rocks,4073,QLD
Brisbane South West,Sinnamon Park,4073,QLD
Brisbane South West,Jindalee,4074,QLD
Brisbane South West,Mount Ommaney,4074,QLD
Brisbane South West,Westlake,4074,QLD
Brisbane Outer South West,Acacia Ridge,4110,QLD
Brisbane Outer South West,Archerfield,4108,QLD
Brisbane Outer South West,Darra,4076,QLD
Brisbane Outer South West,Doolandella,4077,QLD
Brisbane Outer South West,Durack,4077,QLD
Brisbane Outer South West,Ellen Grove,4078,QLD
Brisbane Outer South West,Forest Lake,4078,QLD
Brisbane Outer South West,Heathwood,4110,QLD
Brisbane Outer South West,Inala,4077,QLD
Brisbane Outer South West,Larapinta,4110,QLD
Brisbane Outer South West,Oxley,4075,QLD
Brisbane Outer South West,Pallara,4110,QLD
Brisbane Outer South West,Richlands,4077,QLD
Brisbane Outer South West,Riverhills,4074,QLD
Brisbane Outer South West,Rocklea,4106,QLD
Brisbane Outer South West,Sumner,4074,QLD
Brisbane Outer South West,Wacol,4076,QLD
Brisbane Outer South West,Willawong,4110,QLD
Brisbane Inner South,Annerley,4103,QLD
Brisbane Inner South,Coorparoo,4151,QLD
Brisbane Inner South,Dutton Park,4102,QLD
Brisbane Inner South,Fairfield,4103,QLD
Brisbane Inner South,Greenslopes,4120,QLD
Brisbane Inner South,Highgate Hill,4101,QLD
Brisbane Inner South,Holland Park,4121,QLD
Brisbane Inner South,Holland Park West,4121,QLD
Brisbane Inner South,Kangaroo Point,4169,QLD
Brisbane Inner South,Moorooka,4105,QLD
Brisbane Inner South,South Brisbane,4101,QLD
Brisbane Inner South,Tarragindi,4121,QLD
Brisbane Inner South,Tennyson,4105,QLD
Brisbane Inner South,West End,4101,QLD
Brisbane Inner South,Woolloongabba,4102,QLD
Brisbane Inner South,Yeerongpilly,4105,QLD
Brisbane Inner South,Yeronga,4104,QLD
Brisbane South,Coopers Plains,4108,QLD
Brisbane South,Holland Park,4121,QLD
Brisbane South,Holland Park West,4121,QLD
Brisbane South,Mackenzie,4156,QLD
Brisbane South,Macgregor,4109,QLD
Brisbane South,Mansfield,4122,QLD
Brisbane South,Moorooka,4105,QLD
Brisbane South,Mount Gravatt,4122,QLD
Brisbane South,Mount Gravatt East,4122,QLD
Brisbane South,Nathan,4111,QLD
Brisbane South,Robertson,4109,QLD
Brisbane South,Salisbury,4107,QLD
Brisbane South,Tarragindi,4121,QLD
Brisbane South,Upper Mount Gravatt,4122,QLD
Brisbane South,Wishart,4122,QLD
Brisbane Outer South,Algester,4115,QLD
Brisbane Outer South,Burbank,4156,QLD
Brisbane Outer South,Calamvale,4116,QLD
Brisbane Outer South,Drewvale,4116,QLD
Brisbane Outer South,Eight Mile Plains,4113,QLD
Brisbane Outer South,Karawatha,4117,QLD
Brisbane Outer South,Kuraby,4112,QLD
Brisbane Outer South,Parkinson,4115,QLD
Brisbane Outer South,Rochedale,4123,QLD
Brisbane Outer South,Runcorn,4113,QLD
Brisbane Outer South,Stretton,4116,QLD
Brisbane Outer South,Sunnybank,4109,QLD
Brisbane Outer South,Sunnybank Hills,4109,QLD
Brisbane Outer South,Underwood,4112,QLD
Brisbane Inner East,Balmoral,4171,QLD
Brisbane Inner East,Bulimba,4171,QLD
Brisbane Inner East,Camp Hill,4152,QLD
Brisbane Inner East,Coorparoo,4151,QLD
Brisbane Inner East,East Brisbane,4169,QLD
Brisbane Inner East,Hawthorne,4171,QLD
Brisbane Inner East,Morningside,4170,QLD
Brisbane Inner East,Norman Park,4170,QLD
Brisbane Inner East,Seven Hills,4170,QLD
Brisbane East,Camp Hill,4152,QLD
Brisbane East,Cannon Hill,4170,QLD
Brisbane East,Carina,4152,QLD
Brisbane East,Carina Heights,4152,QLD
Brisbane East,Carindale,4152,QLD
Brisbane East,Morningside,4170,QLD
Brisbane East,Murarrie,4172,QLD
Brisbane East,Tingalpa,4173,QLD
Brisbane Outer East,Belmont,4153,QLD
Brisbane Outer East,Chandler,4155,QLD
Brisbane Outer East,Gumdale,4154,QLD
Brisbane Outer East,Hemmant,4174,QLD
Brisbane Outer East,Lota,4179,QLD
Brisbane Outer East,Lytton,4178,QLD
Brisbane Outer East,Manly,4179,QLD
Brisbane Outer East,Manly West,4179,QLD
Brisbane Outer East,Ransome,4154,QLD
Brisbane Outer East,Wakerley,4154,QLD
Brisbane Outer East,Wynnum,4178,QLD
Brisbane Outer East,Wynnum West,4178,QLD
Redlands Bayside,Alexandra Hills,4161,QLD
Redlands Bayside,Birkdale,4159,QLD
Redlands Bayside,Capalaba,4157,QLD
Redlands Bayside,Cleveland,4163,QLD
Redlands Bayside,Mount Cotton,4165,QLD
Redlands Bayside,Ormiston,4160,QLD
Redlands Bayside,Redland Bay,4165,QLD
Redlands Bayside,Sheldon,4157,QLD
Redlands Bayside,Thorneside,4158,QLD
Redlands Bayside,Thornlands,4164,QLD
Redlands Bayside,Victoria Point,4165,QLD
Redlands Bayside,Wellington Point,4160,QLD
Moreton South,Albany Creek,4035,QLD
Moreton South,Murrumba Downs,4503,QLD
Moreton South,Mango Hill,4509,QLD
Moreton South,Griffin,4503,QLD
Moreton South,Warner,4500,QLD
Moreton South,Kallangur,4503,QLD
Moreton South,Dakabin,4503,QLD
Moreton Bayside,Redcliffe,4020,QLD
Moreton Bayside,Scarborough,4020,QLD
Moreton Bayside,Newport,4020,QLD
Moreton Bayside,Woody Point,4019,QLD
Moreton Bayside,Clontarf,4019,QLD
Moreton Bayside,Kippa-Ring,4021,QLD
Moreton Bayside,Margate,4019,QLD
Moreton Bayside,Bray Park,4500,QLD
Ipswich Council,Augustine Heights,4300,QLD
Ipswich Council,Redbank Plains,4301,QLD
Sunshine Coast,Birtinya,4575,QLD
Logan East,Rochedale South,4123,QLD
Logan East,Cornubia,4130,QLD
Logan East,Daisy Hill,4127,QLD
Logan East,Shailer Park,4128,QLD
Logan East,Eagleby,4207,QLD
Logan West,Loganlea,4131,QLD
Logan West,Marsden,4132,QLD